G/L Acct External ID;G/L Account Long Text;G/L Account Type;FS Item;FS Item Name;Financial Statement Line Item;Account Grouping
63003700;Additives;Primary Costs or Revenue;560100;Variable Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Variable Expense
63004000;Insurance Expense - Casualty & Pollution;Primary Costs or Revenue;560400;Insurance Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Insurance Expense
63004100;Ins. Exp Executive Service & Network Security;Primary Costs or Revenue;560400;Insurance Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Insurance Expense
63004200;Uninsured Losses;Primary Costs or Revenue;560400;Insurance Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Insurance Expense
63004300;Insurance Expense - Property & Time Element;Primary Costs or Revenue;560400;Insurance Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Insurance Expense
63004400;Insurance Expense - Time Element Adjustment;Primary Costs or Revenue;560400;Insurance Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Insurance Expense
63004500;Insurance Expense - Bonds;Primary Costs or Revenue;560400;Insurance Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Insurance Expense
63004600;Catalyst;Primary Costs or Revenue;560100;Variable Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Variable Expense
63004700;Catalyst Surcharge;Primary Costs or Revenue;560100;Variable Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Variable Expense
63004800;Wastewater Chemicals;Primary Costs or Revenue;560100;Variable Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Variable Expense
63005000;Lease Expense;Primary Costs or Revenue;560500;Lease & Rental Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Lease & Rental Expense
63005100;Contra Lease Expense;Primary Costs or Revenue;560500;Lease & Rental Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Lease & Rental Expense
63005200;Short-Term Lease Expense;Primary Costs or Revenue;560500;Lease & Rental Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Lease & Rental Expense
63005300;Variable Lease Expense;Primary Costs or Revenue;560500;Lease & Rental Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Lease & Rental Expense
63006000;License & Permits;Primary Costs or Revenue;560600;Taxes, Licenses & Fees;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Taxes, Licenses & Fees
63006100;Inspection Fees;Primary Costs or Revenue;560600;Taxes, Licenses & Fees;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Taxes, Licenses & Fees
63006200;Inbound Expense;Primary Costs or Revenue;560900;Communication Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Communication Expense
63006300;Cellular Telephone;Primary Costs or Revenue;560900;Communication Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Communication Expense
63006400;Telephone and other Communication;Primary Costs or Revenue;560900;Communication Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Communication Expense
63006500;Outbound Expense;Primary Costs or Revenue;560900;Communication Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Communication Expense
