G/L Acct External ID;G/L Account Long Text;G/L Account Type;FS Item;FS Item Name;Financial Statement Line Item;Account Grouping
69000400;Franchise Tax Expense;Primary Costs or Revenue;560600;Taxes, Licenses & Fees;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Taxes, Licenses & Fees
69000500;Fuel Tax Expense;Primary Costs or Revenue;560600;Taxes, Licenses & Fees;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Taxes, Licenses & Fees
69000600;Federal Reclamation Fund Tax Expense;Primary Costs or Revenue;560600;Taxes, Licenses & Fees;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Taxes, Licenses & Fees
71000000;Bank Charges;Nonoperating Expense or Income;561000;Service Charges;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Service Charges
71050000;Cash Discounts Expense;Nonoperating Expense or Income;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
90020000;Internal Labor Settlement;Secondary Costs;560000;Wages and salaries and other benefit costs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Employee Expense
90030000;Internal Material Settlement;Secondary Costs;560700;Supplies Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Supplies Expense
90040000;External Material Settlement;Secondary Costs;560700;Supplies Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Supplies Expense
90050000;Services Settlement;Secondary Costs;560200;Outside Services;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Outside Services
90060000;Other Settlement;Secondary Costs;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
90070000;Group Insurance allocation;Secondary Costs;560000;Wages and salaries and other benefit costs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Employee Expense
90080000;Trucking allocation;Secondary Costs;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
90090000;Refining split Labour;Secondary Costs;560000;Wages and salaries and other benefit costs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Employee Expense
90091000;Refining split Non Labour;Secondary Costs;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
94311000;Personnel hours;Secondary Costs;560000;Wages and salaries and other benefit costs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Employee Expense
99035980;AUC - WO Cost resettle;Primary Costs or Revenue;560000;Wages and salaries and other benefit costs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Employee Expense
